Batch,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
1,mCherry_D17_MET+CR_P1.tif:0146-1040,3612,7.634,2.148,7,1,16,517.411,8
1,mCherry_D17_MET+CR_P1.tif:Background,326906,5.86,1.479,6,0,59,2790,6
1,mCherry_D17_MET+NMN_P1.tif:0519-0320,5895,6.923,1.81,7,2,16,732.539,7
1,mCherry_D17_MET+NMN_P1.tif:0744-1042,5314,8.111,2.011,8,2,21,607.305,8
1,mCherry_D17_MET+NMN_P1.tif:Background,186825,6.282,1.527,6,0,17,2060,6
1,mCherry_D17_NMN_P4.tif:0635-0274,3955,6.605,1.7,6,1,13,660.971,7
1,mCherry_D17_NMN_P4.tif:0541-0721,4063,7.664,1.926,7,2,16,628.677,8
1,mCherry_D17_NMN_P4.tif:0613-1097,3766,8.243,1.804,8,2,16,537.629,8
1,mCherry_D17_NMN_P4.tif:Background,248675,6.076,1.468,6,0,57,2520,6
1,mCherry_D25_NMN+CR_P2.tif:0788-0115,3042,8.855,2.195,8,3,17,488.623,9
1,mCherry_D25_NMN+CR_P2.tif:0773-0134,2667,9.13,2.418,9,2,19,466.011,9
1,mCherry_D25_NMN+CR_P2.tif:0562-0748,3384,9.629,2.699,9,2,24,516.417,9
1,mCherry_D25_NMN+CR_P2.tif:0337-0860,3491,9.859,2.4,10,2,25,515.889,10
1,mCherry_D25_NMN+CR_P2.tif:0820-1234,2831,9.062,2.111,9,3,18,451,9
1,mCherry_D25_NMN+CR_P2.tif:Background,233184,6.893,1.544,7,0,117,3112,7
1,mCherry_D29_MET+NMN+CR_P3.tif:0309-0337,4104,13.143,3.174,12,5,27,608.291,13
1,mCherry_D29_MET+NMN+CR_P3.tif:0859-0465,3166,14.437,3.092,14,6,26,541.107,14
1,mCherry_D29_MET+NMN+CR_P3.tif:0734-0983,2947,14.524,2.924,14,7,27,508.562,14
1,mCherry_D29_MET+NMN+CR_P3.tif:0206-1104,2995,14.025,2.716,14,5,27,547.535,14
1,mCherry_D29_MET+NMN+CR_P3.tif:Background,244530,10.594,1.683,11,2,57,2558,11
1,mCherry_D29_MET_P2.tif:0537-0731,3000,14.118,3.19,13,6,30,501.766,14
1,mCherry_D29_MET_P2.tif:Background,22374,11.503,1.659,12,5,18,622,12
