Order,Cat,Day,Group,Plate,Worm,File,Track ,Length,Distance,#Frames,1stFrame,time(s),MaxSpeed,AvgArea,StdArea,AvgPerim,StdPerim,AvgSpeed,BLPS,avgX,avgY
459,3,28,NMN+CR,1,1,D28_NMN+CR_P1_1,1,0.8466384,7.37E-04,757,0,30.28,0.114215561,0.057574213,3.03E-04,2.333251,0.081266716,0.027960317,0.023966832,3.0259044,1.6582712
474,4,32,MET+NMN+CR,3,1,D32_MET+NMN+CR_P3_1,1,1.0441936,7.20E-04,740,0,29.6,0.174451922,0.041898027,2.20E-04,1.7297596,0.019355921,0.03527681,0.04078811,3.0314927,1.7077308
460,4,28,NMN+CR,1,2,D28_NMN+CR_P1_2,1,0.9038916,6.66E-04,737,0,29.48,0.118091668,0.04494304,2.30E-04,2.3029885,0.035281625,0.03066118,0.026627298,3.10586,1.5516977
333,4,18,CR,2,1,D18_CR_P2_1,1,0.47656175,5.88E-04,755,0,30.2,0.066013652,0.024885595,1.26E-04,1.0776577,0.008513638,0.01578019,0.02928609,3.7659974,1.8801616
481,4,32,NMN+CR,2,2,D32_NMN+CR_P2_2,1,0.6481708,4.83E-04,748,0,29.92,0.069070485,0.04820657,1.55E-04,1.9170676,0.09255481,0.021663463,0.022600625,2.9890745,1.9211061
478,4,32,NMN,5,1,D32_NMN_P5,1,0.6962635,4.71E-04,757,0,30.28,0.131717057,0.039924808,1.57E-04,1.5333121,0.031069037,0.02299417,0.029992813,3.0062282,1.8135929
349,4,18,MET+CR,1,1,D18_MET+CR_P1_1,1,0.79385704,4.40E-04,754,0,30.16,0.109702302,0.0339606,1.71E-04,1.4977055,0.018885054,0.02632152,0.035149124,3.2038145,1.8689364
445,3,26,NMN+CR,1,1,D26_NMN+CR_P1_1,1,0.87011194,3.82E-04,739,0,29.56,0.146439217,0.04651256,4.00E-04,1.6808546,0.017398369,0.02943545,0.035024386,2.95301,1.949249
487,4,34,NMN+CR,2,2,D34_NMN+CR_P2_2,1,0.84530026,3.13E-04,740,0,29.6,0.129035104,0.038236912,1.89E-04,1.7223265,0.09498011,0.02855744,0.033161473,2.921176,1.8544927
485,4,34,MET+NMN+CR,5,2,D34_MET+NMN+CR_P5_2,1,0.6305042,2.78E-04,748,0,29.92,0.0809566,0.046058286,1.58E-04,1.8732185,0.05638915,0.021073,0.022499245,3.0813773,1.8490523
476,4,32,MET+NMN+CR,5,1,D32_MET+NMN+CR_P5_1,1,0.705716,2.06E-04,755,0,30.2,0.106208969,0.04559155,1.66E-04,2.090457,0.056611635,0.023368081,0.02235691,3.0058239,1.832964
351,4,18,MET+CR,2,1,D18_MET+CR_P2_1,1,0.7192975,1.50E-04,740,0,29.6,0.096567284,0.024881896,1.36E-04,1.2168336,0.043479644,0.024300594,0.0399407,3.0650098,2.0618708
455,4,28,MET+NMN+CR,3,2,D28_MET+NMN+CR_P3_2,1,1.2412891,1.31E-04,744,0,29.76,0.170585455,0.0431802,3.05E-04,1.9269261,0.1295129,0.04170998,0.04329173,3.0409367,1.8743031
493,4,38,MET+NMN+CR,3,2,D38_MET+NMN+CR_P3_2,1,0.733404,1.23E-04,758,0,30.32,0.09340308,0.045993797,1.72E-04,1.8222922,0.122551695,0.024188785,0.026547648,2.965633,1.7661967
