 ,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
253,GFP_D13_MET+NMN_P5.tif:0396-0918,5802,82.393,5.819,83,62,99,653.028,82
254,GFP_D13_MET+NMN_P5.tif:0764-0501,5593,71.356,4.846,73,52,89,653.681,71
255,GFP_D13_MET+NMN_P5.tif:Background,110352,70.605,4.114,71,52,102,1334,71
256,GFP_D13_MET_P1.tif:0427-0537,5712,81.16,4.891,82,65,107,651.013,81
257,GFP_D13_MET_P1.tif:0725-0841,5493,84.001,4.932,83,68,101,604.399,84
258,GFP_D13_MET_P1.tif:Background,110745,79.921,4.1,80,60,141,1332,80
259,GFP_D13_MET_P2.tif:0551-0526,5284,89.463,5.431,89,73,116,642.209,89
260,GFP_D13_MET_P2.tif:0630-0770,6032,89.715,5.449,90,68,107,661.417,90
261,GFP_D13_MET_P2.tif:Background,54858,81.577,4.218,82,63,100,938,82
262,GFP_D13_MET_P3.tif:0547-0760,5420,76.93,5.379,76,58,98,665.523,77
263,GFP_D13_MET_P3.tif:0586-0731,5003,75.595,4.876,75,59,94,630.278,75
264,GFP_D13_MET_P3.tif:Background,29326,70.86,3.754,70,58,87,854,71
265,GFP_D13_MET_P4.tif:0569-0266,6983,68.024,4.543,66,54,88,727.156,68
266,GFP_D13_MET_P4.tif:0724-0777,6913,71.825,5.101,71,52,89,728.736,72
267,GFP_D13_MET_P4.tif:0436-1099,4978,70.376,4.822,69,54,86,619.237,70
268,GFP_D13_MET_P4.tif:Background,153888,66.685,3.833,66,50,153,1802,67
269,GFP_D13_MET_P5.tif:0397-0550,5926,68.123,4.694,68,53,87,665.907,68
270,GFP_D13_MET_P5.tif:0627-0554,5878,67.667,4.884,66,54,88,647.39,67
271,GFP_D13_MET_P5.tif:0611-0632,5965,67.853,4.692,69,54,88,698.645,68
272,GFP_D13_MET_P5.tif:0810-0684,4874,67.659,4.492,67,53,84,617.799,67
273,GFP_D13_MET_P5.tif:Background,134418,63.611,4.299,64,47,95,3114.68,63
274,GFP_D13_NMN+CR_P1.tif:0501-0612,3867,28.317,3.376,29,18,40,579.649,28
275,GFP_D13_NMN+CR_P1.tif:0553-0757,5370,27.529,3.408,25,18,39,662.885,27
276,GFP_D13_NMN+CR_P1.tif:Background,31862,24.126,2.172,24,16,61,714,24
277,GFP_D13_NMN+CR_P2.tif:0669-0353,4006,24.88,3.797,23,14,42,527.815,24
278,GFP_D13_NMN+CR_P2.tif:0559-1072,4153,25.783,3.618,25,15,39,573.055,25
279,GFP_D13_NMN+CR_P2.tif:Background,146700,21.934,2.176,22,13,66,2126,22
280,GFP_D13_NMN+CR_P3.tif:0291-0258,3269,22.632,3.846,23,13,37,494.44,23
281,GFP_D13_NMN+CR_P3.tif:0826-1011,3774,23.376,3.33,24,14,39,548.029,23
282,GFP_D13_NMN+CR_P3.tif:Background,520730,18.23,2.207,18,8,73,2934,18
283,GFP_D13_NMN+CR_P4.tif:0566-0348,4683,20.768,3.442,20,12,38,618.499,20
284,GFP_D13_NMN+CR_P4.tif:0626-0714,4146,21.885,3.093,22,13,34,598.051,22
285,GFP_D13_NMN+CR_P4.tif:0661-0855,3677,22.079,3.171,22,13,36,561.33,22
286,GFP_D13_NMN+CR_P4.tif:0842-0670,4347,21.091,2.679,20,13,35,596.568,21
287,GFP_D13_NMN+CR_P4.tif:Background,68000,18.202,1.943,18,10,27,1044,18
288,GFP_D13_NMN+CR_P5.tif:0260-0353,4547,16.09,3.101,15,8,29,598.238,16
289,GFP_D13_NMN+CR_P5.tif:0486-0661,3952,16.884,3.479,15,8,36,575.438,16
290,GFP_D13_NMN+CR_P5.tif:0790-0977,3774,17.136,3.661,14,7,36,583.648,17
291,GFP_D13_NMN+CR_P5.tif:Background,77910,13.055,1.708,13,6,24,1118,13
292,GFP_D13_NMN_P1.tif:0199-0803,6141,102.225,5.928,104,83,123,693.275,102
293,GFP_D13_NMN_P1.tif:0398-0693,6061,101.552,5.675,100,83,121,695.255,101
294,GFP_D13_NMN_P1.tif:0424-0475,5399,98.665,5.738,97,81,119,724.208,99
295,GFP_D13_NMN_P1.tif:0949-0604,4991,96.062,5.594,98,79,118,660.677,96
296,GFP_D13_NMN_P1.tif:0800-0842,5427,97.979,5.285,98,78,114,627.503,98
297,GFP_D13_NMN_P1.tif:Background,117458,93.795,4.937,93,73,117,1398,94
298,GFP_D13_NMN_P2.tif:0418-0294,6017,99.345,6.01,101,80,120,657.77,99
299,GFP_D13_NMN_P2.tif:0766-0384,4418,99.827,5.445,101,81,117,611.576,100
300,GFP_D13_NMN_P2.tif:0301-0845,7084,107.256,6.667,106,83,131,817.945,107
301,GFP_D13_NMN_P2.tif:0820-0953,4831,107.684,7.398,109,85,135,650.923,107
302,GFP_D13_NMN_P2.tif:Background,159357,98.115,5.052,98,74,153,1604,98
303,GFP_D13_NMN_P3.tif:0285-0560,6435,75.548,4.447,76,58,91,670.099,76
304,GFP_D13_NMN_P3.tif:0843-0870,5806,70.824,5.316,72,53,89,625.014,71
305,GFP_D13_NMN_P3.tif:Background,142127,69.9,4.842,69,52,101,1536,70
306,GFP_D13_NMN_P4.tif:0182-0213,5419,75.727,4.612,76,59,91,696.624,76
307,GFP_D13_NMN_P4.tif:0916-0327,4907,80.736,5.085,81,64,98,610.094,81
308,GFP_D13_NMN_P4.tif:0597-0994,5096,91.07,5.041,90,75,110,658.714,91
309,GFP_D13_NMN_P4.tif:0385-1276,6226,88.61,6.916,87,70,112,674.497,88
310,GFP_D13_NMN_P4.tif:Background,356643,79.232,5.414,79,55,171,2392,79
311,GFP_D13_NMN_P5.tif:0189-0958,5418,74.774,5.224,73,59,95,635.337,74
312,GFP_D13_NMN_P5.tif:0768-0451,3717,78.497,4.907,79,63,97,594.434,78
313,GFP_D13_NMN_P5.tif:0846-0509,3950,78.915,4.332,78,65,94,555.327,79
314,GFP_D13_NMN_P5.tif:0771-0611,4816,77.698,4.524,76,64,98,601.841,77
315,GFP_D13_NMN_P5.tif:Background,146692,75.206,3.776,75,56,134,1534,75
316,GFP_D17_Con_P1.tif:0432-0479,4361,82.462,5.915,81,65,110,565.083,82
317,GFP_D17_Con_P1.tif:0587-0649,5535,88.018,5.764,88,70,112,628.775,88
318,GFP_D17_Con_P1.tif:0789-0654,4806,84.381,5.504,83,68,105,618.002,84
319,GFP_D17_Con_P1.tif:Background,23664,77.834,4.103,79,62,92,668,78
320,GFP_D17_Con_P2.tif:0634-0693,5080,88.062,4.646,87,74,105,709.576,88
321,GFP_D17_Con_P2.tif:0501-0840,6121,89.908,4.682,89,73,108,696.408,90
322,GFP_D17_Con_P2.tif:Background,19581,84.692,3.747,84,70,98,580,85
323,GFP_D17_Con_P3.tif:0201-0520,5377,87.874,5.272,88,71,105,654.262,88
324,GFP_D17_Con_P3.tif:0739-0783,5410,91.152,5.683,90,71,118,674.735,91
325,GFP_D17_Con_P3.tif:Background,98112,88.386,4.478,88,71,154,1324,88
326,GFP_D17_Con_P4.tif:0520-0493,4345,68.382,4.92,68,53,87,611.431,68
327,GFP_D17_Con_P4.tif:0420-0946,5754,71.639,6.101,73,52,91,721.083,72
328,GFP_D17_Con_P4.tif:0476-0921,4182,70.35,5.981,68,53,95,576.61,69
329,GFP_D17_Con_P4.tif:0473-0931,2244,73.136,4.648,74,59,90,454.78,73
330,GFP_D17_Con_P4.tif:Background,43355,65.725,3.619,66,51,85,888,66
331,GFP_D17_Con_P5.tif:0149-0502,5898,71.183,3.896,72,58,85,624.952,71
332,GFP_D17_Con_P5.tif:0441-0718,4761,76.859,3.991,76,64,123,583.908,77
333,GFP_D17_Con_P5.tif:0647-0609,3851,75.336,4.534,73,63,92,552.736,75
334,GFP_D17_Con_P5.tif:0839-0759,2610,72.81,4.223,71,59,88,420.248,73
335,GFP_D17_Con_P5.tif:Background,33282,69.499,3.726,69,55,84,774,69
336,GFP_D17_CR_P1.tif:0216-0283,2416,27.759,3.361,28,17,38,409.073,28
337,GFP_D17_CR_P1.tif:0498-0763,2793,28.782,3.49,30,20,45,483.08,29
338,GFP_D17_CR_P1.tif:0851-0772,2100,28.311,2.9,29,19,37,358.243,28
339,GFP_D17_CR_P1.tif:0691-0987,2896,28.936,3.629,28,17,45,468.095,29
340,GFP_D17_CR_P1.tif:0563-1055,2510,29.355,3.793,28,18,42,372.972,29
341,GFP_D17_CR_P1.tif:Background,227530,22.8,2.207,23,13,102,1966,23
342,GFP_D17_CR_P2.tif:0736-0218,2422,24.601,3.106,25,14,36,437.229,25
343,GFP_D17_CR_P2.tif:Background,18447,21.175,2.032,21,14,29,544,21
344,GFP_D17_CR_P2.tif:0420-0609,1806,29.002,3.457,29,18,41,384.3,29
345,GFP_D17_CR_P2.tif:0364-1138,1893,32.126,4.719,32,19,47,219.73,32
346,GFP_D17_CR_P2.tif:Background,44088,23.718,2.144,23,15,33,1178,24
347,GFP_D17_CR_P3.tif:0386-0354,3087,22.084,3.402,21,12,35,477.256,22
348,GFP_D17_CR_P3.tif:0652-0381,3043,21.431,3.206,20,13,37,440.346,21
349,GFP_D17_CR_P3.tif:0151-1030,3270,25.392,4.02,25,15,40,436.907,25
350,GFP_D17_CR_P3.tif:0699-1060,1927,25.724,3.276,25,16,40,343.337,26
351,GFP_D17_CR_P3.tif:Background,194094,19.27,2.093,19,9,56,1790,19
352,GFP_D17_CR_P4_1.tif:0567-0689,1347,15.403,2.094,15,10,27,304.992,15
353,GFP_D17_CR_P4_1.tif:Background,6536,14.255,1.729,14,8,21,324,14
354,GFP_D17_CR_P4_2.tif:0452-0647,2361,23.053,3.54,23,12,40,372.879,23
355,GFP_D17_CR_P4_2.tif:Background,7080,17.761,1.9,18,11,26,358,18
356,GFP_D17_CR_P5.tif:0210-0394,2203,23.746,2.971,25,15,35,417.231,24
357,GFP_D17_CR_P5.tif:0562-0801,2646,23.706,3.089,23,16,37,417.277,23
358,GFP_D17_CR_P5.tif:0740-0908,2148,26.338,3.693,27,15,40,386.923,26
359,GFP_D17_CR_P5.tif:Background,184992,19.658,2.02,19,11,31,1784,20
360,GFP_D17_MET+CR_P1.tif:0971-0139,2087,22.258,3.184,23,14,33,362.272,22
361,GFP_D17_MET+CR_P1.tif:0692-0446,3235,24.553,4.882,21,15,41,490.787,23
362,GFP_D17_MET+CR_P1.tif:0146-1025,3416,23.976,3.613,25,13,37,495.049,24
363,GFP_D17_MET+CR_P1.tif:Background,262251,19.49,2.138,19,10,87,2360,19
364,GFP_D17_MET+CR_P2_1.tif:0520-0715,2400,27.215,3.1,28,18,40,371.204,27
365,GFP_D17_MET+CR_P2_1.tif:Background,20516,22.961,2.089,23,15,32,630,23
366,GFP_D17_MET+CR_P2_2.tif:0599-0562,1324,26.082,3.597,25,17,38,310.992,26
367,GFP_D17_MET+CR_P2_2.tif:Background,4047,21.265,2.057,21,15,28,256,21
368,GFP_D17_MET+CR_P3.tif:0455-0524,2807,19.226,3.604,16,10,33,460.796,19
369,GFP_D17_MET+CR_P3.tif:0652-0685,2325,19.032,3.296,18,8,35,430.203,19
370,GFP_D17_MET+CR_P3.tif:Background,26600,14.888,1.812,15,8,23,660,15
371,GFP_D17_MET+CR_P4.tif:0697-0262,2681,20.251,2.64,20,12,29,417.086,20
372,GFP_D17_MET+CR_P4.tif:0390-1107,2358,22.223,2.549,22,14,31,396.635,22
373,GFP_D17_MET+CR_P4.tif:Background,206322,17.799,2.111,18,9,87,2054,18
374,GFP_D17_MET+NMN+CR_P2.tif:0402-0484,3843,19.424,4.377,19,8,45,555.172,19
375,GFP_D17_MET+NMN+CR_P2.tif:0643-0939,3594,16.479,3.025,15,8,32,538.864,16
376,GFP_D17_MET+NMN+CR_P2.tif:Background,97470,13.344,1.768,13,6,46,1254,13
377,GFP_D17_MET+NMN+CR_P3.tif:0830-0305,4064,16.855,5.918,13,5,48,558.168,15
378,GFP_D17_MET+NMN+CR_P3.tif:0641-0263,3893,15.712,3.312,16,7,27,554.858,16
379,GFP_D17_MET+NMN+CR_P3.tif:0326-0623,4219,15.225,2.939,14,8,27,557.805,15
380,GFP_D17_MET+NMN+CR_P3.tif:0286-1050,5063,15.551,3.385,14,8,27,625.837,15
381,GFP_D17_MET+NMN+CR_P3.tif:0533-1120,6226,16.404,3.541,15,7,30,649.481,16
382,GFP_D17_MET+NMN+CR_P3.tif:Background,225028,11.988,1.739,12,4,31,1922,12
383,GFP_D17_MET+NMN+CR_P4.tif:0132-0498,5190,20.122,3.959,18,10,38,621.662,19
384,GFP_D17_MET+NMN+CR_P4.tif:0845-0746,4997,18.848,3.33,17,8,32,607.177,18
385,GFP_D17_MET+NMN+CR_P4.tif:Background,166175,15.413,1.843,15,8,25,1728,15
386,GFP_D17_MET+NMN+CR_P5.tif:0293-0195,2938,13.939,2.953,13,6,26,532.484,14
387,GFP_D17_MET+NMN+CR_P5.tif:0351-0258,255,14.102,2.301,15,7,20,151.566,14
388,GFP_D17_MET+NMN+CR_P5.tif:0428-0342,2302,15.713,3.465,18,7,26,374.026,16
389,GFP_D17_MET+NMN+CR_P5.tif:0351-0267,1638,16.371,3.445,15,7,28,292.808,16
390,GFP_D17_MET+NMN+CR_P5.tif:0243-0209,986,13.209,2.325,13,7,21,239.106,13
391,GFP_D17_MET+NMN+CR_P5.tif:0354-0297,2452,16.897,3.087,17,9,28,424.366,17
392,GFP_D17_MET+NMN+CR_P5.tif:0442-0435,2910,15.137,3.739,14,7,30,450.362,15
393,GFP_D17_MET+NMN+CR_P5.tif:0420-0430,1424,14.65,3.093,14,7,24,342.271,14
394,GFP_D17_MET+NMN+CR_P5.tif:0343-0363,655,14.043,2.747,13,8,23,119.963,13
395,GFP_D17_MET+NMN+CR_P5.tif:0220-0226,2879,14.228,3.474,13,6,30,388.954,14
396,GFP_D17_MET+NMN+CR_P5.tif:0286-0288,3683,13.668,3.1,12,6,31,426.675,13
397,GFP_D17_MET+NMN+CR_P5.tif:0356-0385,301,12.85,1.936,12,8,18,71.166,13
398,GFP_D17_MET+NMN+CR_P5.tif:0256-0604,3815,13.706,2.564,13,6,24,538.069,14
399,GFP_D17_MET+NMN+CR_P5.tif:0640-1224,4607,13.649,3.136,12,5,29,586.061,13
400,GFP_D17_MET+NMN+CR_P5.tif:Background,194532,10.459,1.697,10,3,19,2584,10
401,GFP_D17_MET+NMN_P1.tif:0536-0325,6066,47.51,3.81,48,36,64,629.971,47
402,GFP_D17_MET+NMN_P1.tif:Background,33579,42.822,2.935,42,32,55,808,43
403,GFP_D17_MET+NMN_P1.tif:0781-1045,6996,55.041,4.557,54,42,75,677.076,55
404,GFP_D17_MET+NMN_P1.tif:Background,16102,50.043,3.035,50,40,101,526,50
405,GFP_D17_MET+NMN_P2.tif:0376-0340,5217,85.431,6.745,85,65,108,619.404,85
406,GFP_D17_MET+NMN_P2.tif:0233-0654,6378,85.886,6.547,84,66,107,745.611,86
407,GFP_D17_MET+NMN_P2.tif:0692-0947,5478,87.588,5.852,85,64,109,610.486,87
408,GFP_D17_MET+NMN_P2.tif:Background,154630,82.57,4.593,82,65,120,1598,82
409,GFP_D17_MET+NMN_P3.tif:0504-1171,6917,87.864,5.416,87,67,112,710.02,88
410,GFP_D17_MET+NMN_P3.tif:Background,31360,83.468,3.707,84,69,98,836,83
411,GFP_D17_MET+NMN_P3.tif:0458-0235,5790,69.828,5.616,69,53,89,643.04,70
412,GFP_D17_MET+NMN_P3.tif:Background,15281,64.619,3.78,65,51,81,636,65
413,GFP_D17_MET+NMN_P4.tif:0480-0390,5193,82.903,5.279,84,66,104,634.282,83
414,GFP_D17_MET+NMN_P4.tif:0325-1111,6271,90.804,5.612,89,72,112,657.452,91
415,GFP_D17_MET+NMN_P4.tif:Background,116622,84.272,4.521,85,65,114,1706,84
416,GFP_D17_MET+NMN_P5.tif:0317-0666,6304,59.623,3.956,60,47,77,643.476,60
417,GFP_D17_MET+NMN_P5.tif:0659-0757,4794,63.205,3.473,63,52,75,597.588,63
418,GFP_D17_MET+NMN_P5.tif:Background,111104,57.37,3.401,58,43,119,1392,57
419,GFP_D17_MET_P1.tif:0259-0601,4710,84.551,5.278,85,68,103,574.896,85
420,GFP_D17_MET_P1.tif:0646-0853,5307,87.97,5.691,86,71,108,609.927,88
421,GFP_D17_MET_P1.tif:Background,201708,79.397,4.773,79,59,169,1798,79
422,GFP_D17_MET_P2.tif:0756-0438,5733,76.543,5.161,75,59,98,668.034,76
423,GFP_D17_MET_P2.tif:0783-0448,5304,78.714,5.456,76,63,101,639.521,78
424,GFP_D17_MET_P2.tif:0482-0528,5927,76.414,3.76,76,63,89,619.01,76
425,GFP_D17_MET_P2.tif:0392-0887,7138,83.102,5.768,83,64,116,760.592,83
426,GFP_D17_MET_P2.tif:Background,73937,75.94,4.196,76,60,96,1596,76
427,GFP_D17_MET_P3_1.tif:0571-0720,7222,78.78,4.961,79,64,97,663.915,79
428,GFP_D17_MET_P3_1.tif:Background,26334,73.557,3.397,74,60,86,690,74
429,GFP_D17_MET_P3_2.tif:0640-0721,5577,73.677,4.807,73,59,90,648.039,73
430,GFP_D17_MET_P3_2.tif:Background,24453,68.027,4.139,68,53,83,692,68
431,GFP_D17_MET_P4.tif:0637-0586,4717,68.36,4.926,68,53,87,591.556,68
432,GFP_D17_MET_P4.tif:0368-0922,6240,69.205,5.432,68,55,98,700.516,69
433,GFP_D17_MET_P4.tif:Background,92016,64.729,4.024,65,48,124,1290,65
434,GFP_D17_MET_P5.tif:0856-0460,4280,54.803,4.153,54,42,76,570.706,55
435,GFP_D17_MET_P5.tif:0560-0407,3879,53.644,4.364,52,43,68,600.245,53
436,GFP_D17_MET_P5.tif:0561-0466,5152,55.33,4.43,55,41,73,644.678,55
437,GFP_D17_MET_P5.tif:0446-0830,5057,63.558,4.016,63,50,82,601.96,63
438,GFP_D17_MET_P5.tif:0245-0801,4803,61.174,4.505,61,46,77,643.802,61
439,GFP_D17_MET_P5.tif:Background,84960,55.281,3.87,56,38,70,1188,55
440,GFP_D17_NMN+CR_P1.tif:0309-0732,4059,23.69,3.969,21,14,42,558.7,23
441,GFP_D17_NMN+CR_P1.tif:0641-0943,4141,24.134,3.832,22,14,43,546.718,24
442,GFP_D17_NMN+CR_P1.tif:Background,61812,19.398,2.055,19,11,59,1016,19
443,GFP_D17_NMN+CR_P2.tif:0230-0353,3851,19.07,3.134,17,10,33,542.876,19
444,GFP_D17_NMN+CR_P2.tif:0561-0374,3747,19.624,3.556,17,11,37,510.088,19
445,GFP_D17_NMN+CR_P2.tif:0218-0983,3836,20.412,3.396,19,12,38,503.261,20
446,GFP_D17_NMN+CR_P2.tif:0698-0971,3430,20.881,3.697,20,11,40,506.853,20
447,GFP_D17_NMN+CR_P2.tif:Background,180268,16.727,1.965,17,8,59,1712,17
448,GFP_D17_NMN+CR_P3.tif:0364-0461,2616,18.444,2.54,19,11,28,439.097,18
449,GFP_D17_NMN+CR_P3.tif:Background,8316,17.656,2.189,18,10,74,466,18
450,GFP_D17_NMN+CR_P3.tif:0621-1017,2838,22.332,2.994,22,13,33,423.206,22
451,GFP_D17_NMN+CR_P3.tif:Background,6213,18.878,1.927,19,13,26,332,19
452,GFP_D17_NMN+CR_P4.tif:0754-0443,5924,18.727,3.619,17,9,35,659.506,18
453,GFP_D17_NMN+CR_P4.tif:0255-0955,3973,23.722,5.121,22,12,51,496.213,23
454,GFP_D17_NMN+CR_P4.tif:Background,28288,16.301,1.896,16,9,24,688,16
455,GFP_D17_NMN+CR_P5_1.tif:0538-0677,3435,18.056,3.42,15,9,32,552.939,18
456,GFP_D17_NMN+CR_P5_1.tif:Background,3552,15.711,2.924,14,8,25,244,15
457,GFP_D17_NMN+CR_P5_2.tif:0631-0636,3657,15.386,3.227,15,7,31,515.517,15
458,GFP_D17_NMN+CR_P5_2.tif:Background,9072,10.93,1.632,11,5,20,386,11
459,GFP_D17_NMN_P1.tif:0285-0405,6691,81.843,4.787,79,67,101,671.333,82
460,GFP_D17_NMN_P1.tif:0601-0952,4824,88.483,5.018,88,72,107,599.272,88
461,GFP_D17_NMN_P1.tif:0622-0994,4692,90.91,4.994,89,75,108,570.857,91
462,GFP_D17_NMN_P1.tif:Background,86978,81.951,4.309,81,66,147,1422,82
463,GFP_D17_NMN_P2.tif:0529-0673,4768,98.017,7.674,95,76,128,625.248,97
464,GFP_D17_NMN_P2.tif:0562-0875,4676,97.274,5.736,98,78,123,597.368,97
465,GFP_D17_NMN_P2.tif:Background,11200,88.45,4.043,88,74,104,478,88
466,GFP_D17_NMN_P3.tif:0358-0417,4558,86.155,5.64,84,70,175,615.715,86
467,GFP_D17_NMN_P3.tif:0802-0921,4906,94.876,6.631,92,74,118,563.313,94
468,GFP_D17_NMN_P3.tif:Background,265584,83.482,4.993,85,62,108,2062,84
469,GFP_D17_NMN_P4.tif:0640-0301,5868,81.193,5.322,81,64,99,633.464,81
470,GFP_D17_NMN_P4.tif:0541-0713,4966,93.648,5.664,93,76,113,613.59,93
471,GFP_D17_NMN_P4.tif:0627-1108,3169,94.937,5.874,93,78,117,452.523,95
472,GFP_D17_NMN_P4.tif:Background,145442,83.947,6.414,86,62,112,2504.271,84
