Batch,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
1,GFP_D10_NMN+CR_P3.tif:0516-0323,2632,61.943,4.201,63,48,75,423.722,62
1,GFP_D10_NMN+CR_P3.tif:Background,10656,54.571,4.089,53,42,70,289.388,54
1,GFP_D13_MET_P4.tif:0569-0266,6983,68.024,4.543,66,54,88,727.156,68
1,GFP_D13_MET_P4.tif:0724-0777,6913,71.825,5.101,71,52,89,728.736,72
1,GFP_D13_MET_P4.tif:0436-1099,4978,70.376,4.822,69,54,86,619.237,70
1,GFP_D13_MET_P4.tif:Background,153888,66.685,3.833,66,50,153,1802,67
1,GFP_D13_MET+NMN_P1.tif:0245-0757,6859,90.619,5.495,90,72,113,703.908,90
1,GFP_D13_MET+NMN_P1.tif:0345-0989,5814,92.805,5.32,91,78,111,602.883,93
1,GFP_D13_MET+NMN_P1.tif:Background,32072,89.195,4.276,89,72,106,726,89
1,GFP_D13_MET+NMN_P1.tif:0829-0262,4087,72.732,5.665,71,59,95,612.705,72
1,GFP_D13_MET+NMN_P1.tif:Background,19840,70.456,3.483,71,57,86,566,70
1,GFP_D13_MET+NMN_P1.tif:0831-0615,4825,82.025,5.561,83,65,104,623.292,82
1,GFP_D13_MET+NMN_P1.tif:0876-0725,6011,80.492,4.955,80,64,96,633.355,80
1,GFP_D13_MET+NMN_P1.tif:Background,26880,78.615,4.061,78,62,99,722,79
1,GFP_D25_CR_P3.tif:0425-0836,3209,18.576,4.975,16,7,46,495.746,18
1,GFP_D25_CR_P3.tif:Background,14508,11.787,1.663,12,5,18,528,12
1,GFP_D31_MET+NMN+CR_P3.tif:0153-0208,3831,28.354,3.6,28,17,41,564.546,28
1,GFP_D31_MET+NMN+CR_P3.tif:0149-0223,3540,28.358,3.717,29,17,45,501.28,28
1,GFP_D31_MET+NMN+CR_P3.tif:0584-0367,4118,28.185,3.623,27,17,45,495.774,28
1,GFP_D31_MET+NMN+CR_P3.tif:0601-0670,4866,30.515,4.752,30,20,52,607.841,30
1,GFP_D31_MET+NMN+CR_P3.tif:0910-1065,3961,29.655,4.594,29,18,143,518.599,29
1,GFP_D31_MET+NMN+CR_P3.tif:0565-1207,4121,29.85,4.319,29,18,46,559.239,30
1,GFP_D31_MET+NMN+CR_P3.tif:Background,263976,24.159,2.25,24,14,127,2996,24
1,GFP_D31_NMN+CR_P2.tif:0121-0641,3859,30.287,5.056,30,15,54,603.058,30
1,GFP_D31_NMN+CR_P2.tif:0509-0537,2886,27.814,3.767,27,18,43,515.182,27
1,GFP_D31_NMN+CR_P2.tif:0925-0595,2767,26.691,4.25,27,15,43,463.954,26
1,GFP_D31_NMN+CR_P2.tif:0835-0882,3790,27.654,4.824,26,16,50,506.257,27
1,GFP_D31_NMN+CR_P2.tif:Background,125580,22.729,2.223,23,14,97,1744,23
