 ,Label,Area,Mean,StdDev,Mode,Min,Max,Perim.,Median
138,mCherry_D10_NMN+CR_P5.tif:Background,101702,9.047,1.562,9,2,38,1326,9
139,mCherry_D10_NMN_P1.tif:0885-0291,5447,12.907,2.162,12,6,23,666.041,13
140,mCherry_D10_NMN_P1.tif:0490-0323,5260,12.57,2.057,12,5,21,679.009,12
141,mCherry_D10_NMN_P1.tif:0556-0687,4910,14.301,2.269,14,7,25,641.159,14
142,mCherry_D10_NMN_P1.tif:0673-1218,5741,13.816,2.293,13,7,23,695.692,14
143,mCherry_D10_NMN_P1.tif:Background,77952,11.784,1.831,12,4,25,2024,12
144,mCherry_D10_NMN_P2.tif:0604-0604,4834,13.321,1.912,13,7,22,622.592,13
145,mCherry_D10_NMN_P2.tif:0260-0601,4886,13.259,2.04,13,7,24,582.853,13
146,mCherry_D10_NMN_P2.tif:Background,37576,12.055,1.733,12,5,62,1030,12
147,mCherry_D10_NMN_P3.tif:0690-0392,6435,13.581,2.325,13,6,23,735.263,13
148,mCherry_D10_NMN_P3.tif:0158-0701,5989,14.585,2.262,15,7,27,706.211,14
149,mCherry_D10_NMN_P3.tif:Background,75396,12.281,1.773,12,5,26,1480,12
150,mCherry_D10_NMN_P4.tif:0837-0249,6215,12.169,2.155,12,6,24,700.618,12
151,mCherry_D10_NMN_P4.tif:0376-0858,5340,13.872,2.506,13,6,31,645.262,14
152,mCherry_D10_NMN_P4.tif:Background,189810,11.002,1.716,11,4,20,1806,11
153,mCherry_D10_NMN_P5.tif:0303-0368,4827,11.478,1.823,11,5,17,671.112,11
154,mCherry_D10_NMN_P5.tif:0612-0680,4909,12.094,2.105,12,6,22,603.42,12
155,mCherry_D10_NMN_P5.tif:Background,39146,10.463,1.634,10,4,17,1206,10
156,mCherry_D13_Con_P1.tif:0189-0567,6075,6.758,1.572,7,1,14,678.309,7
157,mCherry_D13_Con_P1.tif:0601-0471,4887,6.572,1.593,6,1,13,615.393,7
158,mCherry_D13_Con_P1.tif:0894-0936,5571,6.693,1.693,7,1,16,664.041,7
159,mCherry_D13_Con_P1.tif:Background,87429,6.157,1.462,6,0,23,1460,6
160,mCherry_D13_Con_P2.tif:0915-0496,8140,5.865,1.555,6,0,12,850.964,6
161,mCherry_D13_Con_P2.tif:0602-0392,5487,6.163,1.561,6,0,12,736.316,6
162,mCherry_D13_Con_P2.tif:0222-0666,5069,6.603,1.598,6,2,15,656.195,7
163,mCherry_D13_Con_P2.tif:0140-0806,6755,6.566,1.612,7,1,13,807.078,7
164,mCherry_D13_Con_P2.tif:Background,208436,5.804,1.451,6,0,58,1830,6
165,mCherry_D13_Con_P3.tif:0321-0335,3913,6.665,1.786,7,1,20,565.116,7
166,mCherry_D13_Con_P3.tif:0696-1110,4141,6.846,1.583,7,2,13,599.619,7
167,mCherry_D13_Con_P3.tif:0900-0302,5791,6.108,1.583,6,1,13,711.807,6
168,mCherry_D13_Con_P3.tif:Background,326979,5.846,1.492,6,0,60,2392,6
169,mCherry_D13_Con_P4.tif:0774-0482,6848,5.641,1.494,6,0,11,795.336,6
170,mCherry_D13_Con_P4.tif:0366-1071,6661,6.467,1.747,6,2,15,706.549,6
171,mCherry_D13_Con_P4.tif:Background,95473,5.44,1.424,5,0,21,1508,5
172,mCherry_D13_Con_P5.tif:0781-0333,5347,5.828,1.512,6,1,16,730.108,6
173,mCherry_D13_Con_P5.tif:0237-0310,5138,5.726,1.636,5,1,12,664.479,6
174,mCherry_D13_Con_P5.tif:0206-0948,4567,6.684,1.762,7,1,15,643.125,7
175,mCherry_D13_Con_P5.tif:Background,247167,5.311,1.458,5,0,113,2416,5
176,mCherry_D13_CR_P1.tif:0678-0405,2790,6.367,1.903,6,1,16,475.201,6
177,mCherry_D13_CR_P1.tif:0567-0809,3085,6.959,2.182,7,0,27,494.399,7
178,mCherry_D13_CR_P1.tif:Background,75850,4.985,1.393,5,0,14,1190,5
179,mCherry_D13_CR_P2.tif:0250-0489,4251,7.059,1.686,7,1,14,578.428,7
180,mCherry_D13_CR_P2.tif:0378-0569,3446,7.286,1.838,7,2,15,505.723,7
181,mCherry_D13_CR_P2.tif:0582-0927,2557,7.711,1.787,7,3,15,461.573,8
182,mCherry_D13_CR_P2.tif:Background,119790,6.174,1.445,6,0,19,1474,6
183,mCherry_D13_CR_P3.tif:0558-0415,3677,5.762,1.701,6,1,13,545.349,6
184,mCherry_D13_CR_P3.tif:0871-0913,3623,5.988,1.784,6,0,13,504.801,6
185,mCherry_D13_CR_P3.tif:Background,116312,4.536,1.367,4,0,20,1506,5
186,mCherry_D13_CR_P4.tif:0732-0559,3362,7.095,1.838,7,2,15,523.953,7
187,mCherry_D13_CR_P4.tif:0441-0661,2680,7.1,1.845,7,1,14,479.532,7
188,mCherry_D13_CR_P4.tif:Background,32148,5.785,1.44,6,0,11,792,6
189,mCherry_D13_CR_P5.tif:0635-0157,2928,5.872,1.705,6,1,12,478.858,6
190,mCherry_D13_CR_P5.tif:0203-0817,2468,7.241,1.856,7,1,21,434.925,7
191,mCherry_D13_CR_P5.tif:0745-1060,2481,7.027,1.809,7,2,14,472.927,7
192,mCherry_D13_CR_P5.tif:Background,216678,5.327,1.432,5,0,97,1862,5
193,mCherry_D13_MET+CR_P1_1.tif:0691-0485,3903,6.51,1.703,6,0,19,559.084,6
194,mCherry_D13_MET+CR_P1_1.tif:Background,34980,5.601,1.42,6,0,12,856,6
195,mCherry_D13_MET+CR_P1_2.tif:0609-0645,2827,7.26,1.744,7,1,15,495.99,7
196,mCherry_D13_MET+CR_P1_2.tif:Background,22401,5.795,1.437,6,0,11,604,6
197,mCherry_D13_MET+CR_P2_1.tif:0556-0592,2096,7.045,1.753,7,2,15,430.61,7
198,mCherry_D13_MET+CR_P2_1.tif:Background,22542,5.879,1.431,6,0,12,646,6
199,mCherry_D13_MET+CR_P2_2.tif:0597-0553,2575,6.826,1.766,6,1,14,474.157,7
200,mCherry_D13_MET+CR_P2_2.tif:Background,19350,5.867,1.422,6,1,12,610,6
201,mCherry_D13_MET+CR_P3.tif:0305-0272,3252,7.065,1.784,7,1,15,522.678,7
202,mCherry_D13_MET+CR_P3.tif:0193-1176,3271,7.655,1.731,8,2,14,500.882,8
203,mCherry_D13_MET+CR_P3.tif:Background,118436,6.089,1.475,6,0,61,2274,6
204,mCherry_D13_MET+CR_P4.tif:0519-0539,3480,6.939,1.793,7,1,14,540.307,7
205,mCherry_D13_MET+CR_P4.tif:0858-0981,2421,6.941,1.805,7,1,15,398.071,7
206,mCherry_D13_MET+CR_P4.tif:Background,145520,5.36,1.413,5,0,18,1536,5
